Date,Weighted_Average_Score
2006-12-01,3.3173385799999995
2006-12-04,2.77867984
2006-12-06,2.4273067399999997
2006-12-07,1.9469005799999999
2006-12-08,1.77813315
2006-12-11,2.38003288
2006-12-13,2.4271335699999996
2006-12-14,2.95467149
2006-12-15,2.28721685
2006-12-18,1.61059254
2006-12-19,3.1764146399999995
2006-12-20,3.12783904
2006-12-22,1.94385429
2006-12-26,2.06117424
2006-12-27,1.92007707
2006-12-28,1.92007707
2006-12-29,1.79067577
2007-01-03,1.77049834
2007-01-04,2.01097325
2007-01-05,3.28944863
2007-01-08,2.4861347499999997
2007-01-09,2.42588381
2007-01-10,2.15094372
2007-01-11,2.52588603
2007-01-12,3.09867256
2007-01-16,2.54786732
2007-01-17,1.6736377000000002
2007-01-18,1.79695313
2007-01-19,2.39983221
2007-01-22,2.7122612900000003
2007-01-23,1.9770294099999997
2007-01-24,2.2919683199999996
2007-01-25,2.73903669
2007-01-26,2.01767527
2007-01-29,1.58707257
2007-01-30,2.7951598700000004
2007-01-31,2.85811212
2007-02-01,2.88344353
2007-02-02,3.28159552
2007-02-05,2.95489197
2007-02-07,2.22957678
2007-02-08,2.01017754
2007-02-09,1.5735941500000001
2007-02-12,1.67114687
2007-02-14,2.83344883
2007-02-15,2.77352055
2007-02-16,2.65787633
2007-02-20,2.79338132
2007-02-21,2.1146611999999996
2007-02-22,1.9419243599999998
2007-02-23,2.45833535
2007-02-26,3.56450712
2007-02-27,2.1652090800000003
2007-03-01,1.5439117399999998
2007-03-02,2.03590006
2007-03-05,3.1042854
2007-03-06,3.5086432299999997
2007-03-08,3.26101845
2007-03-09,3.79613768
2007-03-12,3.51939404
2007-03-13,3.31353643
2007-03-14,3.37251074
2007-03-15,2.5986950199999996
2007-03-16,2.3977196800000002
2007-03-19,2.8455433599999997
2007-03-20,2.6633504
2007-03-21,3.7618201
2007-03-22,3.44733075
2007-03-23,3.4761144699999997
2007-03-26,1.7772656700000002
2007-03-27,2.93782674
2007-03-29,2.62118075
2007-03-30,3.49353246
2007-04-02,1.73532161
2007-04-04,2.52326218
2007-04-09,3.5029994
2007-04-10,2.38224985
2007-04-11,3.48990456
2007-04-12,1.5658549999999998
2007-04-13,1.3702265
2007-04-16,3.37119902
2007-04-17,2.26350795
2007-04-18,2.26296505
2007-04-19,2.3432888099999998
2007-04-20,3.0500050599999997
2007-04-23,1.99326364
2007-04-24,2.0081914299999997
2007-04-25,1.9188917
2007-04-26,2.4544358199999996
2007-04-27,2.90031551
2007-04-30,2.6770225200000004
2007-05-01,2.01658571
2007-05-02,3.10010531
2007-05-03,3.70709835
2007-05-04,3.01150754
2007-05-07,2.34940187
2007-05-08,2.73055053
2007-05-09,2.7945870899999994
2007-05-10,2.29686303
2007-05-11,3.1655815400000002
2007-05-14,1.6167290100000002
2007-05-15,3.8176036
2007-05-16,3.2652679300000003
2007-05-17,2.35766036
2007-05-18,1.9087649800000002
2007-05-21,2.9353478500000003
2007-05-22,2.27575977
2007-05-23,2.78256239
2007-05-24,2.34383526
2007-05-25,2.66043482
2007-05-29,2.8360116399999997
2007-05-30,2.24861051
2007-05-31,2.945869
2007-06-04,2.57474741
2007-06-05,2.7116870399999997
2007-06-06,2.65385307
2007-06-07,2.4039514200000003
2007-06-08,2.2432374599999996
2007-06-12,2.56588717
2007-06-13,2.7567261199999997
2007-06-14,3.20808198
2007-06-15,3.4766761500000003
2007-06-18,3.12351981
2007-06-19,1.92323406
2007-06-21,2.96429608
2007-06-22,2.48453765
2007-06-25,3.3136370800000003
2007-06-26,3.1959933400000002
2007-06-27,2.99604101
2007-06-29,1.8755026400000003
2007-07-02,1.96942122
2007-07-03,2.95272778
2007-07-05,2.27736516
2007-07-06,1.9966099499999999
2007-07-09,2.6261794299999996
2007-07-10,2.13447484
2007-07-11,3.3769685
2007-07-12,2.62917328
2007-07-13,1.9549468200000002
2007-07-16,2.18866281
2007-07-17,2.7282823
2007-07-18,2.1135963400000004
2007-07-19,2.9413855700000004
2007-07-20,2.17112485
2007-07-23,1.7199413700000001
2007-07-24,2.0567382000000003
2007-07-26,2.54906897
2007-07-27,2.8864056700000003
2007-07-30,1.822114
2007-07-31,3.1643719899999994
2007-08-01,1.7254419
2007-08-02,2.0901495199999998
2007-08-03,2.7055664000000004
2007-08-06,2.29176619
2007-08-08,2.16847075
2007-08-09,3.15137156
2007-08-10,2.75491971
2007-08-13,3.27641732
2007-08-14,2.6575459
2007-08-15,3.17898826
2007-08-16,3.36238674
2007-08-17,2.7988236
2007-08-20,2.7128995400000004
2007-08-21,2.07575787
2007-08-22,1.61047435
2007-08-23,2.2096623199999996
2007-08-24,2.12090697
2007-08-27,2.2477669000000002
2007-08-28,2.24365596
2007-08-30,3.53133989
2007-08-31,1.60052977
2007-09-04,1.61171916
2007-09-05,2.67553877
2007-09-06,1.6581369000000001
2007-09-07,1.80124744
2007-09-10,1.8372021299999999
2007-09-11,2.2799358
2007-09-12,2.3264454499999996
2007-09-13,2.5475135
2007-09-14,1.9389395400000002
2007-09-17,2.6947950600000006
2007-09-18,2.53686519
2007-09-19,2.4342305
2007-09-20,3.33291002
2007-09-21,1.72921714
2007-09-24,1.74922604
2007-09-25,1.4394083299999998
2007-09-26,1.4598119599999997
2007-09-27,2.32996846
2007-09-28,3.1009797999999997
2007-10-01,3.22074141
2007-10-02,3.4640171100000003
2007-10-03,3.0868499
2007-10-04,3.0316474
2007-10-05,3.3420997000000003
2007-10-08,2.4318813199999996
2007-10-09,2.32524428
2007-10-11,2.76827178
2007-10-12,2.84105861
2007-10-15,2.2290066
2007-10-16,2.6627940699999995
2007-10-17,1.9801970400000002
2007-10-18,2.1387013599999998
2007-10-19,2.0576486000000003
2007-10-23,3.187583
2007-10-24,2.98212589
2007-10-25,3.1687575199999998
2007-10-26,1.6668755299999998
2007-10-29,2.5478139499999997
2007-10-30,3.45389151
2007-10-31,2.85012531
2007-11-01,3.4926106
2007-11-02,2.93569889
2007-11-05,3.50259518
2007-11-06,2.23318352
2007-11-07,2.80168603
2007-11-08,2.45404564
2007-11-09,1.52782557
2007-11-12,2.01263383
2007-11-13,1.83931562
2007-11-14,2.5522815899999998
2007-11-15,3.6119524700000003
2007-11-16,3.22275511
2007-11-19,2.07296778
2007-11-20,2.47342231
2007-11-21,1.8337114300000001
2007-11-23,2.89519197
2007-11-26,3.4326686200000003
2007-11-27,4.15435625
2007-11-28,4.434789009999999
2007-11-29,3.85508373
2007-11-30,3.7235993
2007-12-03,2.17254086
2007-12-04,3.134624
2007-12-05,3.41604471
2007-12-06,3.2561126700000003
2007-12-10,1.9646265
2007-12-11,2.91756525
2007-12-12,2.13710641
2007-12-14,3.45714639
2007-12-17,2.51224703
2007-12-18,2.16016439
2007-12-19,3.63469353
2007-12-20,1.45301807
2007-12-21,1.3837201
2007-12-26,2.8788706399999997
2007-12-27,2.4710405399999997
2007-12-28,2.1702853600000003
2007-12-31,2.23446957
2008-01-03,3.8324383099999997
2008-01-04,2.06394887
2008-01-07,2.70523674
2008-01-08,2.7278290899999997
2008-01-09,2.8674838699999996
2008-01-10,2.41372538
2008-01-11,2.87992112
2008-01-15,3.3464158299999998
2008-01-16,3.73161542
2008-01-17,2.13743304
2008-01-18,2.42163915
2008-01-22,2.16269368
2008-01-23,2.08521741
2008-01-24,2.49027098
2008-01-25,3.5852795099999994
2008-01-28,3.3508367900000007
2008-01-29,3.02447876
2008-01-30,2.5469362700000002
2008-02-01,2.73028667
2008-02-04,2.49653611
2008-02-05,3.2195629599999998
2008-02-06,2.48256325
2008-02-07,3.2122006499999998
2008-02-08,3.016177
2008-02-12,3.38855893
2008-02-13,2.69670226
2008-02-14,2.6875952499999993
2008-02-15,2.5748457399999998
2008-02-19,2.0095550600000003
2008-02-20,2.5824848800000004
2008-02-21,2.1559776100000003
2008-02-22,2.88672111
2008-02-25,1.99433689
2008-02-26,3.46815613
2008-02-27,3.82718138
2008-02-28,3.45966287
2008-02-29,2.3611482500000003
2008-03-03,2.35129964
2008-03-04,3.7501309099999998
2008-03-05,2.20036853
2008-03-06,2.72343667
2008-03-07,2.6747000399999994
2008-03-11,3.95372111
2008-03-12,3.8041475800000004
2008-03-13,2.6682833199999996
2008-03-17,2.24331389
2008-03-18,3.4312607
2008-03-19,3.8078317000000004
2008-03-20,3.44204592
2008-03-24,2.70139721
2008-03-25,3.0085206400000004
2008-03-26,2.70759558
2008-03-28,2.29414891
2008-03-31,3.37349358
2008-04-01,3.55158515
2008-04-02,1.7426755200000001
2008-04-03,3.26911897
2008-04-04,3.13790332
2008-04-07,2.5633244
2008-04-08,2.21784755
2008-04-09,2.89933636
2008-04-10,3.68531804
2008-04-11,3.02169088
2008-04-14,2.8705555900000004
2008-04-15,4.14198561
2008-04-16,3.0074445400000003
2008-04-17,2.3956467900000002
2008-04-18,2.7237764500000003
2008-04-21,2.52394591
2008-04-22,1.81397294
2008-04-23,2.26126671
2008-04-24,2.108977
2008-04-25,3.0235551999999997
2008-04-28,1.96878703
2008-04-30,2.98753636
2008-05-01,1.6876113900000003
2008-05-02,3.0522690499999996
2008-05-05,2.72545876
2008-05-06,2.65482936
2008-05-07,2.24412139
2008-05-08,2.76222968
2008-05-09,2.6789887300000004
2008-05-12,2.77170042
2008-05-13,3.0554945200000003
2008-05-14,2.88501193
2008-05-15,3.31418114
2008-05-16,3.6326674600000004
2008-05-19,2.72773008
2008-05-20,2.95688996
2008-05-22,3.02908671
2008-05-23,2.61820352
2008-05-27,2.3738101400000002
2008-05-28,2.48931906
2008-05-30,2.13062659
2008-06-02,2.0239712400000003
2008-06-03,2.58658624
2008-06-04,3.26497314
2008-06-05,2.62019779
2008-06-06,2.13031773
2008-06-10,2.62495001
2008-06-11,2.69296973
2008-06-12,2.63286324
2008-06-13,2.35631453
2008-06-16,3.2143076300000004
2008-06-17,2.7202234699999996
2008-06-18,3.30368571
2008-06-19,3.6963739
2008-06-20,2.8295277199999997
