Date,Sentiment_Scores
2006-12-01,[0.09534248 0.15465343 0.24883093 0.3396692  0.16150393]
2006-12-04,[0.12550557 0.28006747 0.34482038 0.18945481 0.06015179]
2006-12-06,[0.32713956 0.2573526  0.17321323 0.14565066 0.09664393]
2006-12-07,[0.36672607 0.40657002 0.15439166 0.05770176 0.01461049]
2006-12-08,[0.4105987  0.43575242 0.12402694 0.02416066 0.00546123]
2006-12-11,[0.16294004 0.425657   0.29867586 0.09388394 0.0188431 ]
2006-12-13,[0.18495944 0.3668092  0.30566442 0.12127213 0.02129479]
2006-12-14,[0.1814022  0.19510157 0.23830763 0.25779974 0.12738886]
2006-12-15,[0.41333044 0.21717893 0.14057441 0.12677608 0.1021402 ]
2006-12-18,[0.5896606  0.26416925 0.10415122 0.02995492 0.01206402]
2006-12-19,[0.07809316 0.17419468 0.33147144 0.3256859  0.09055484]
2006-12-20,[0.12776655 0.19185777 0.2499854  0.28555065 0.14483963]
2006-12-22,[0.4497632  0.28957596 0.16111244 0.06614015 0.03340825]
2006-12-26,[0.48203814 0.22335322 0.12466066 0.09129237 0.07865564]
2006-12-27,[0.37572703 0.38754863 0.18668291 0.04100255 0.00903877]
2006-12-28,[0.37572703 0.38754863 0.18668291 0.04100255 0.00903877]
2006-12-29,[0.5355209  0.25322148 0.1235305  0.06051509 0.02721201]
2007-01-03,[0.5556365  0.22655681 0.13593282 0.05541929 0.02645452]
2007-01-04,[0.36609173 0.33689955 0.23047872 0.05300384 0.01352618]
2007-01-05,[0.11924233 0.15711087 0.22479692 0.3126555  0.18619436]
2007-01-08,[0.29342872 0.2611699  0.19632946 0.1639819  0.08509005]
2007-01-09,[0.29644233 0.27722955 0.20087889 0.15490064 0.07054863]
2007-01-10,[0.41875234 0.26817334 0.13243079 0.10466482 0.07597861]
2007-01-11,[0.30740735 0.24942285 0.16320275 0.16981077 0.11015633]
2007-01-12,[0.0389904  0.1747741  0.45785862 0.30532625 0.02305062]
2007-01-16,[0.2532565  0.27974367 0.20905578 0.18176416 0.0761799 ]
2007-01-17,[0.5525593  0.29221943 0.10297659 0.03351353 0.01873113]
2007-01-18,[0.4589397  0.35311136 0.13631135 0.03533164 0.01630602]
2007-01-19,[0.19910671 0.36719963 0.2949019  0.11233781 0.02645386]
2007-01-22,[0.19259967 0.2515613  0.27732325 0.20800963 0.07050615]
2007-01-23,[0.43698812 0.3014338  0.14599507 0.07872687 0.0368562 ]
2007-01-24,[0.3524048  0.27479124 0.17123696 0.13156484 0.07000216]
2007-01-25,[0.18903852 0.2937404  0.22065915 0.18226963 0.11429228]
2007-01-26,[0.33721107 0.38401785 0.21567014 0.05008642 0.01301448]
2007-01-29,[0.5877538  0.27965552 0.09903514 0.02487549 0.00868007]
2007-01-30,[0.15138607 0.26969478 0.2853024  0.21960656 0.07401016]
2007-01-31,[0.09402201 0.26829147 0.37253752 0.21584989 0.04929901]
2007-02-01,[0.12460088 0.29409602 0.25881377 0.2182376  0.10425178]
2007-02-02,[0.02986236 0.1606199  0.37987953 0.35733628 0.07230193]
2007-02-05,[0.11964277 0.25004518 0.26893708 0.2785273  0.08284768]
2007-02-07,[0.34896746 0.28333345 0.20315671 0.11823966 0.04630273]
2007-02-08,[0.39699858 0.3213933  0.1832531  0.07114169 0.02721326]
2007-02-09,[0.6147878  0.2591031  0.08109323 0.02775864 0.01725718]
2007-02-12,[0.5794639  0.25659165 0.09978597 0.04165054 0.02250792]
2007-02-14,[0.15749648 0.23618814 0.29586387 0.23627314 0.07417838]
2007-02-15,[0.17586231 0.23702975 0.29380813 0.2243243  0.06897543]
2007-02-16,[0.25567    0.21948233 0.22979909 0.2013985  0.09365008]
2007-02-20,[0.20342472 0.25007012 0.20664136 0.22942682 0.110437  ]
2007-02-21,[0.4283119  0.24516019 0.1638918  0.10882703 0.05380908]
2007-02-22,[0.48337328 0.24713013 0.15174295 0.07970613 0.03804749]
2007-02-23,[0.2629301  0.3053193  0.2107144  0.1525573  0.06847885]
2007-02-26,[0.02727101 0.11354654 0.28325096 0.419267   0.15666443]
2007-02-27,[0.38508496 0.29234084 0.15698616 0.10345619 0.06213184]
2007-03-01,[0.6316512  0.2543061  0.0682245  0.03011586 0.01570228]
2007-03-02,[0.43244207 0.27367803 0.16612904 0.08103929 0.04671153]
2007-03-05,[0.17754343 0.18652466 0.17690295 0.2721607  0.1868682 ]
2007-03-06,[0.06752183 0.1379841  0.23598355 0.3353503  0.22316027]
2007-03-08,[0.14497907 0.1631506  0.17926936 0.311075   0.20152602]
2007-03-09,[0.03896138 0.07679478 0.17682421 0.46398374 0.24343583]
2007-03-12,[0.04325691 0.12041255 0.2798668  0.38660687 0.16985683]
2007-03-13,[0.02844306 0.11054901 0.43594125 0.369162   0.05590472]
2007-03-14,[0.03233068 0.10778442 0.39161134 0.3915908  0.0766828 ]
2007-03-15,[0.20174971 0.2756684  0.29047006 0.18636112 0.04575077]
2007-03-16,[0.26635897 0.27848926 0.28136712 0.13864227 0.03514235]
2007-03-19,[0.16082908 0.25814095 0.25071347 0.23529078 0.09502577]
2007-03-20,[0.20605554 0.27735168 0.24648647 0.18739961 0.08270673]
2007-03-21,[0.06960022 0.10073274 0.14766215 0.3622563  0.31974855]
2007-03-22,[0.10241091 0.14255647 0.19150785 0.33234105 0.23118383]
2007-03-23,[0.1599091  0.13626778 0.11298411 0.24947737 0.3413616 ]
2007-03-26,[0.51330054 0.31357694 0.09128491 0.04623138 0.0356062 ]
2007-03-27,[0.13481283 0.25097516 0.25715917 0.25567847 0.10137444]
2007-03-29,[0.22933033 0.24665435 0.27448073 0.17257352 0.07696109]
2007-03-30,[0.04088833 0.11721337 0.28174397 0.42778617 0.13236816]
2007-04-02,[0.5429146  0.27650562 0.10936864 0.04476555 0.02644553]
2007-04-04,[0.31219378 0.23637071 0.17678788 0.16527516 0.10937254]
2007-04-09,[0.04366719 0.12160219 0.27784646 0.4018328  0.15505145]
2007-04-10,[0.3398368  0.2547212  0.175539   0.143161   0.08674193]
2007-04-11,[0.0700567  0.12139942 0.24051094 0.3846483  0.1833846 ]
2007-04-12,[0.5431202  0.36650822 0.07487042 0.0123983  0.00310278]
2007-04-13,[0.69935745 0.2433199  0.04760756 0.00716908 0.00254605]
2007-04-16,[0.14969829 0.16407086 0.15396181 0.22987142 0.30239758]
2007-04-17,[0.39088982 0.237274   0.16720447 0.12670153 0.07793012]
2007-04-18,[0.3587141  0.28445584 0.16600649 0.116798   0.07402556]
2007-04-19,[0.2634493  0.34098455 0.22789094 0.12417831 0.04349687]
2007-04-20,[0.13585223 0.21125902 0.24957837 0.27365217 0.1296582 ]
2007-04-23,[0.42624244 0.28371435 0.18601619 0.07859107 0.02543593]
2007-04-24,[0.44000605 0.2669142  0.17148691 0.088068   0.03352485]
2007-04-25,[0.45930773 0.29298365 0.14806192 0.06880274 0.03084399]
2007-04-26,[0.2970057  0.27586573 0.18279077 0.16436255 0.07997523]
2007-04-27,[0.03012622 0.22226232 0.57267994 0.16703297 0.00789859]
2007-04-30,[0.20385644 0.2769956  0.26007357 0.15641828 0.10265621]
2007-05-01,[0.4022165  0.33072785 0.15245616 0.07745232 0.03714715]
2007-05-02,[0.11555544 0.22038504 0.24912557 0.27826667 0.13666728]
2007-05-03,[0.02891374 0.08227587 0.22970605 0.47100678 0.18809752]
2007-05-04,[0.12675978 0.25078598 0.23427565 0.26054415 0.12763445]
